,Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
,BevCo,1197831,03-03-2021,South,Texas,Houston,Powerade,$0.45 ,"5,000","$2,250 ",$675 ,30%
,BevCo,1197831,03-03-2021,South,Texas,Houston,Dasani Water,$0.40 ,"6,500","$2,600 ","$1,300 ",50%
,BevCo,1197831,02-04-2021,South,Texas,Houston,Coca-Cola,$0.30 ,"9,000","$2,700 ",$945 ,35%
,BevCo,1197831,02-04-2021,South,Texas,Houston,Diet Coke,$0.40 ,"9,000","$3,600 ","$1,260 ",35%
,BevCo,1197831,02-04-2021,South,Texas,Houston,Sprite,$0.35 ,"7,250","$2,538 ",$888 ,35%
,BevCo,1197831,02-04-2021,South,Texas,Houston,Fanta,$0.40 ,"6,250","$2,500 ","$1,125 ",45%
,BevCo,1197831,02-04-2021,South,Texas,Houston,Powerade,$0.45 ,"5,250","$2,363 ",$709 ,30%
,BevCo,1197831,02-04-2021,South,Texas,Houston,Dasani Water,$0.40 ,"8,000","$3,200 ","$1,600 ",50%
,BevCo,1197831,02-05-2021,South,Texas,Houston,Coca-Cola,$0.30 ,"9,250","$2,775 ",$971 ,35%
,BevCo,1197831,02-05-2021,South,Texas,Houston,Diet Coke,$0.40 ,"9,250","$3,700 ","$1,295 ",35%
,BevCo,1197831,02-05-2021,South,Texas,Houston,Sprite,$0.35 ,"7,750","$2,713 ",$949 ,35%
,BevCo,1197831,02-05-2021,South,Texas,Houston,Fanta,$0.40 ,"7,000","$2,800 ","$1,260 ",45%
,BevCo,1197831,02-05-2021,South,Texas,Houston,Powerade,$0.45 ,"6,000","$2,700 ",$810 ,30%
,BevCo,1197831,02-05-2021,South,Texas,Houston,Dasani Water,$0.40 ,"9,500","$3,800 ","$1,900 ",50%
,BevCo,1197831,01-06-2021,South,Texas,Houston,Coca-Cola,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
,BevCo,1197831,01-06-2021,South,Texas,Houston,Diet Coke,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
,BevCo,1197831,01-06-2021,South,Texas,Houston,Sprite,$0.40 ,"8,000","$3,200 ","$1,120 ",35%
,BevCo,1197831,01-06-2021,South,Texas,Houston,Fanta,$0.40 ,"7,500","$3,000 ","$1,350 ",45%
,BevCo,1197831,01-06-2021,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
,BevCo,1197831,01-06-2021,South,Texas,Houston,Dasani Water,$0.50 ,"10,000","$5,000 ","$2,500 ",50%
,BevCo,1197831,03-07-2021,South,Texas,Houston,Coca-Cola,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
,BevCo,1197831,03-07-2021,South,Texas,Houston,Diet Coke,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
,BevCo,1197831,03-07-2021,South,Texas,Houston,Sprite,$0.40 ,"11,000","$4,400 ","$1,540 ",35%
,BevCo,1197831,03-07-2021,South,Texas,Houston,Fanta,$0.40 ,"7,000","$2,800 ","$1,260 ",45%
,BevCo,1197831,03-07-2021,South,Texas,Houston,Powerade,$0.45 ,"7,000","$3,150 ",$945 ,30%
,BevCo,1197831,03-07-2021,South,Texas,Houston,Dasani Water,$0.50 ,"9,750","$4,875 ","$2,438 ",50%
,BevCo,1197831,05-08-2021,South,Texas,Houston,Coca-Cola,$0.40 ,"9,250","$3,700 ","$1,295 ",35%
,BevCo,1197831,05-08-2021,South,Texas,Houston,Diet Coke,$0.45 ,"9,250","$4,163 ","$1,457 ",35%
,BevCo,1197831,05-08-2021,South,Texas,Houston,Sprite,$0.40 ,"11,000","$4,400 ","$1,540 ",35%
,BevCo,1197831,05-08-2021,South,Texas,Houston,Fanta,$0.40 ,"6,500","$2,600 ","$1,170 ",45%
,BevCo,1197831,05-08-2021,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
,BevCo,1197831,05-08-2021,South,Texas,Houston,Dasani Water,$0.50 ,"9,000","$4,500 ","$2,250 ",50%
,BevCo,1197831,02-09-2021,South,Texas,Houston,Coca-Cola,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
,BevCo,1197831,02-09-2021,South,Texas,Houston,Diet Coke,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
,BevCo,1197831,02-09-2021,South,Texas,Houston,Sprite,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
,BevCo,1197831,02-09-2021,South,Texas,Houston,Fanta,$0.50 ,"6,250","$3,125 ","$1,406 ",45%
,BevCo,1197831,02-09-2021,South,Texas,Houston,Powerade,$0.45 ,"6,250","$2,813 ",$844 ,30%
,BevCo,1197831,02-09-2021,South,Texas,Houston,Dasani Water,$0.55 ,"8,500","$4,675 ","$2,338 ",50%
,BevCo,1197831,01-10-2021,South,Texas,Houston,Coca-Cola,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
,BevCo,1197831,01-10-2021,South,Texas,Houston,Diet Coke,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
,BevCo,1197831,01-10-2021,South,Texas,Houston,Sprite,$0.50 ,"7,500","$3,750 ","$1,313 ",35%
,BevCo,1197831,01-10-2021,South,Texas,Houston,Fanta,$0.50 ,"6,000","$3,000 ","$1,350 ",45%
,BevCo,1197831,01-10-2021,South,Texas,Houston,Powerade,$0.45 ,"5,750","$2,588 ",$776 ,30%
,BevCo,1197831,01-10-2021,South,Texas,Houston,Dasani Water,$0.55 ,"7,500","$4,125 ","$2,063 ",50%
,BevCo,1197831,02-11-2021,South,Texas,Houston,Coca-Cola,$0.45 ,"9,000","$4,050 ","$1,418 ",35%
,BevCo,1197831,02-11-2021,South,Texas,Houston,Diet Coke,$0.45 ,"9,000","$4,050 ","$1,418 ",35%
,BevCo,1197831,02-11-2021,South,Texas,Houston,Sprite,$0.50 ,"8,250","$4,125 ","$1,444 ",35%
,BevCo,1197831,02-11-2021,South,Texas,Houston,Fanta,$0.50 ,"6,750","$3,375 ","$1,519 ",45%
,BevCo,1197831,02-11-2021,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
,BevCo,1197831,02-11-2021,South,Texas,Houston,Dasani Water,$0.55 ,"8,500","$4,675 ","$2,338 ",50%
,BevCo,1197831,01-12-2021,South,Texas,Houston,Coca-Cola,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
,BevCo,1197831,01-12-2021,South,Texas,Houston,Diet Coke,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
,BevCo,1197831,01-12-2021,South,Texas,Houston,Sprite,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
,BevCo,1197831,01-12-2021,South,Texas,Houston,Fanta,$0.50 ,"7,000","$3,500 ","$1,575 ",45%
,BevCo,1197831,01-12-2021,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
,BevCo,1197831,01-12-2021,South,Texas,Houston,Dasani Water,$0.55 ,"9,000","$4,950 ","$2,475 ",50%
,FizzySip,1128299,20-01-2021,West,California,San Francisco,Coca-Cola,$0.40 ,"7,750","$3,100 ","$1,085 ",35%
,FizzySip,1128299,20-01-2021,West,California,San Francisco,Diet Coke,$0.50 ,"7,750","$3,875 ",$775 ,20%
,FizzySip,1128299,20-01-2021,West,California,San Francisco,Sprite,$0.50 ,"7,750","$3,875 ","$1,356 ",35%
,FizzySip,1128299,20-01-2021,West,California,San Francisco,Fanta,$0.50 ,"6,250","$3,125 ",$938 ,30%
,FizzySip,1128299,20-01-2021,West,California,San Francisco,Powerade,$0.55 ,"5,750","$3,163 ","$1,581 ",50%
,FizzySip,1128299,20-01-2021,West,California,San Francisco,Dasani Water,$0.50 ,"7,750","$3,875 ",$581 ,15%
,FizzySip,1128299,20-02-2021,West,California,San Francisco,Coca-Cola,$0.40 ,"8,250","$3,300 ","$1,155 ",35%
,FizzySip,1128299,20-02-2021,West,California,San Francisco,Diet Coke,$0.50 ,"7,250","$3,625 ",$725 ,20%
,FizzySip,1128299,20-02-2021,West,California,San Francisco,Sprite,$0.50 ,"7,250","$3,625 ","$1,269 ",35%
,FizzySip,1128299,20-02-2021,West,California,San Francisco,Fanta,$0.50 ,"5,750","$2,875 ",$863 ,30%
,FizzySip,1128299,20-02-2021,West,California,San Francisco,Powerade,$0.55 ,"5,000","$2,750 ","$1,375 ",50%
,FizzySip,1128299,20-02-2021,West,California,San Francisco,Dasani Water,$0.50 ,"7,000","$3,500 ",$525 ,15%
,FizzySip,1128299,19-03-2021,West,California,San Francisco,Coca-Cola,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
,FizzySip,1128299,19-03-2021,West,California,San Francisco,Diet Coke,$0.60 ,"7,000","$4,200 ",$840 ,20%
,FizzySip,1128299,19-03-2021,West,California,San Francisco,Sprite,$0.60 ,"7,000","$4,200 ","$1,470 ",35%
,FizzySip,1128299,19-03-2021,West,California,San Francisco,Fanta,$0.60 ,"6,000","$3,600 ","$1,080 ",30%
,FizzySip,1128299,19-03-2021,West,California,San Francisco,Powerade,$0.65 ,"5,000","$3,250 ","$1,625 ",50%
,FizzySip,1128299,19-03-2021,West,California,San Francisco,Dasani Water,$0.60 ,"7,000","$4,200 ",$630 ,15%
,FizzySip,1128299,20-04-2021,West,California,San Francisco,Coca-Cola,$0.60 ,"8,750","$5,250 ","$1,838 ",35%
,FizzySip,1128299,20-04-2021,West,California,San Francisco,Diet Coke,$0.65 ,"6,750","$4,388 ",$878 ,20%
,FizzySip,1128299,20-04-2021,West,California,San Francisco,Sprite,$0.65 ,"7,250","$4,713 ","$1,649 ",35%
,FizzySip,1128299,20-04-2021,West,California,San Francisco,Fanta,$0.60 ,"6,250","$3,750 ","$1,125 ",30%
,FizzySip,1128299,20-04-2021,West,California,San Francisco,Powerade,$0.65 ,"5,250","$3,413 ","$1,706 ",50%
,FizzySip,1128299,20-04-2021,West,California,San Francisco,Dasani Water,$0.80 ,"7,000","$5,600 ",$840 ,15%
,FizzySip,1128299,21-05-2021,West,California,San Francisco,Coca-Cola,$0.60 ,"9,000","$5,400 ","$2,160 ",40%
,FizzySip,1128299,21-05-2021,West,California,San Francisco,Diet Coke,$0.65 ,"7,500","$4,875 ","$1,219 ",25%
,FizzySip,1128299,21-05-2021,West,California,San Francisco,Sprite,$0.65 ,"7,500","$4,875 ","$1,950 ",40%
,FizzySip,1128299,21-05-2021,West,California,San Francisco,Fanta,$0.60 ,"6,500","$3,900 ","$1,365 ",35%
,FizzySip,1128299,21-05-2021,West,California,San Francisco,Powerade,$0.65 ,"5,500","$3,575 ","$1,966 ",55%
,FizzySip,1128299,21-05-2021,West,California,San Francisco,Dasani Water,$0.80 ,"7,250","$5,800 ","$1,160 ",20%
,FizzySip,1128299,20-06-2021,West,California,San Francisco,Coca-Cola,$0.60 ,"9,750","$5,850 ","$2,340 ",40%
,FizzySip,1128299,20-06-2021,West,California,San Francisco,Diet Coke,$0.65 ,"8,250","$5,363 ","$1,341 ",25%
,FizzySip,1128299,20-06-2021,West,California,San Francisco,Sprite,$0.65 ,"8,250","$5,363 ","$2,145 ",40%
,FizzySip,1128299,20-06-2021,West,California,San Francisco,Fanta,$0.60 ,"7,000","$4,200 ","$1,470 ",35%
,FizzySip,1128299,20-06-2021,West,California,San Francisco,Powerade,$0.65 ,"5,750","$3,738 ","$2,056 ",55%
,FizzySip,1128299,20-06-2021,West,California,San Francisco,Dasani Water,$0.80 ,"8,750","$7,000 ","$1,400 ",20%
,FizzySip,1128299,19-07-2021,West,California,San Francisco,Coca-Cola,$0.60 ,"10,250","$6,150 ","$2,153 ",35%
,FizzySip,1128299,19-07-2021,West,California,San Francisco,Diet Coke,$0.65 ,"8,750","$5,688 ","$1,138 ",20%
,FizzySip,1128299,19-07-2021,West,California,San Francisco,Sprite,$0.65 ,"8,250","$5,363 ","$1,877 ",35%
,FizzySip,1128299,19-07-2021,West,California,San Francisco,Fanta,$0.60 ,"7,250","$4,350 ","$1,305 ",30%
,FizzySip,1128299,19-07-2021,West,California,San Francisco,Powerade,$0.65 ,"7,750","$5,038 ","$2,519 ",50%
,FizzySip,1128299,19-07-2021,West,California,San Francisco,Dasani Water,$0.80 ,"7,750","$6,200 ",$930 ,15%
,FizzySip,1128299,20-08-2021,West,California,San Francisco,Coca-Cola,$0.65 ,"9,750","$6,338 ","$2,218 ",35%
,FizzySip,1128299,20-08-2021,West,California,San Francisco,Diet Coke,$0.70 ,"9,250","$6,475 ","$1,295 ",20%
,FizzySip,1128299,20-08-2021,West,California,San Francisco,Sprite,$0.65 ,"8,000","$5,200 ","$1,820 ",35%
,FizzySip,1128299,20-08-2021,West,California,San Francisco,Fanta,$0.65 ,"7,500","$4,875 ","$1,463 ",30%
,FizzySip,1128299,20-08-2021,West,California,San Francisco,Powerade,$0.75 ,"7,500","$5,625 ","$2,813 ",50%
,FizzySip,1128299,20-08-2021,West,California,San Francisco,Dasani Water,$0.80 ,"7,250","$5,800 ",$870 ,15%
,FizzySip,1128299,21-09-2021,West,California,San Francisco,Coca-Cola,$0.55 ,"9,250","$5,088 ","$1,526 ",30%
,FizzySip,1128299,21-09-2021,West,California,San Francisco,Diet Coke,$0.60 ,"9,250","$5,550 ",$833 ,15%
,FizzySip,1128299,21-09-2021,West,California,San Francisco,Sprite,$0.55 ,"7,750","$4,263 ","$1,279 ",30%
,FizzySip,1128299,21-09-2021,West,California,San Francisco,Fanta,$0.55 ,"7,250","$3,988 ",$997 ,25%
,FizzySip,1128299,21-09-2021,West,California,San Francisco,Powerade,$0.65 ,"7,250","$4,713 ","$2,121 ",45%
,FizzySip,1128299,21-09-2021,West,California,San Francisco,Dasani Water,$0.70 ,"7,750","$5,425 ",$543 ,10%
,FizzySip,1128299,20-10-2021,West,California,San Francisco,Coca-Cola,$0.55 ,"8,750","$4,813 ","$1,444 ",30%
,FizzySip,1128299,20-10-2021,West,California,San Francisco,Diet Coke,$0.60 ,"8,750","$5,250 ",$788 ,15%
,FizzySip,1128299,20-10-2021,West,California,San Francisco,Sprite,$0.55 ,"7,000","$3,850 ","$1,155 ",30%
,FizzySip,1128299,20-10-2021,West,California,San Francisco,Fanta,$0.55 ,"6,750","$3,713 ",$928 ,25%
,FizzySip,1128299,20-10-2021,West,California,San Francisco,Powerade,$0.65 ,"6,500","$4,225 ","$1,901 ",45%
,FizzySip,1128299,20-10-2021,West,California,San Francisco,Dasani Water,$0.70 ,"7,000","$4,900 ",$490 ,10%
,FizzySip,1128299,20-11-2021,West,California,San Francisco,Coca-Cola,$0.55 ,"8,750","$4,813 ","$1,444 ",30%
,FizzySip,1128299,20-11-2021,West,California,San Francisco,Diet Coke,$0.60 ,"8,750","$5,250 ",$788 ,15%
,FizzySip,1128299,20-11-2021,West,California,San Francisco,Sprite,$0.55 ,"7,250","$3,988 ","$1,196 ",30%
,FizzySip,1128299,20-11-2021,West,California,San Francisco,Fanta,$0.55 ,"7,000","$3,850 ",$963 ,25%
,FizzySip,1128299,20-11-2021,West,California,San Francisco,Powerade,$0.65 ,"6,500","$4,225 ","$1,901 ",45%
,FizzySip,1128299,20-11-2021,West,California,San Francisco,Dasani Water,$0.70 ,"7,750","$5,425 ",$543 ,10%
,FizzySip,1128299,19-12-2021,West,California,San Francisco,Coca-Cola,$0.55 ,"9,750","$5,363 ","$1,609 ",30%
,FizzySip,1128299,19-12-2021,West,California,San Francisco,Diet Coke,$0.60 ,"9,750","$5,850 ",$878 ,15%
,FizzySip,1128299,19-12-2021,West,California,San Francisco,Sprite,$0.55 ,"7,750","$4,263 ","$1,279 ",30%
,FizzySip,1128299,19-12-2021,West,California,San Francisco,Fanta,$0.55 ,"7,750","$4,263 ","$1,066 ",25%
,FizzySip,1128299,19-12-2021,West,California,San Francisco,Powerade,$0.65 ,"7,000","$4,550 ","$2,048 ",45%
,FizzySip,1128299,19-12-2021,West,California,San Francisco,Dasani Water,$0.70 ,"8,000","$5,600 ",$560 ,10%
,DreamCo,1189833,15-01-2021,West,California,Los Angeles,Coca-Cola,$0.35 ,"7,000","$2,450 ",$980 ,40%
,DreamCo,1189833,15-01-2021,West,California,Los Angeles,Diet Coke,$0.45 ,"7,000","$3,150 ",$788 ,25%
,DreamCo,1189833,15-01-2021,West,California,Los Angeles,Sprite,$0.45 ,"7,000","$3,150 ","$1,260 ",40%
,DreamCo,1189833,15-01-2021,West,California,Los Angeles,Fanta,$0.45 ,"5,500","$2,475 ",$866 ,35%
